id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date
650uh1rKsxxN7q4bFwOZ5j,Pobre De Mi,Amigos O Enemigos,52MtkqZJu9Ms1vn25LXcp0,['Khaoticos'],['7EwEGxZat6JqMrOJpJnk1P'],2,1,False,0.542,0.8390000000000001,2,-4.806,1,0.0395,0.1009999999999999,0.0,0.74,0.675,129.10399999999998,226000,4.0,2006,2006-09-13
7CcabzkAZHAqsSDdZCqNrm,Another Jones,Phil Woods & Tom Harrell,73qNoTDfhXTSyEbZWoslky,['Phil Woods'],['6G4hVmXKJ9NW5JecncK89f'],2,1,False,0.508,0.4270000000000001,8,-18.728,1,0.0517,0.18,0.405,0.0855,0.496,117.193,585027,4.0,2006,2006-08-10
1bBjZ69pDN4WuOJcY9NLFn,If It,Hippo Lite,3hfklGBSfXMj16ltGmw4bu,['DRINKS'],['7486WDJNPBwRqww0zDsXHI'],2,1,False,0.262,0.354,8,-15.117,1,0.0413,0.525,0.000387,0.305,0.477,173.007,40693,4.0,2018,2018-04-20
71a2cNqkKM6qZajz8UaKQu,Shark Fin Blues,Blues Planet,1uulaI2PomHuHA2eCHY5mX,['Wyland Blues Planet Band'],['6z1PnLAb48X0kd4EkQxrJO'],6,1,False,0.805,0.6,4,-6.5429999999999975,0,0.037,0.486,1.6100000000000002e-05,0.486,0.893,124.467,287947,4.0,2011,2011-04-22
5j2QDLstV5X7Iam5q7YNd8,My Rough And Rowdy Ways,Pine To Pine,1tJd5BB6uo4YjYYSn6ZdEQ,['Big Medicine'],['72pwcAZu6dWM000W6P0Z8Y'],5,1,False,0.7120000000000001,0.33,9,-13.311,1,0.0365,0.921,0.0181,0.243,0.718,151.859,277320,4.0,2009,2009-05-15
6YcCk4X5JBC5amz9ZtNizg,Nothing's Going to Change,Marilia Adamaki,1rQ42dHMZeSc0zpivDBC7t,['Marilia Adamaki'],['31ywoTzKih39ticq9yIkpy'],9,1,False,0.3229999999999999,0.359,2,-12.776,1,0.0289,0.8,0.0,0.225,0.268,129.491,256131,4.0,2018,2018-05-12
7vWgv46dNMb88sVZbVp2lZ,Bullet Pass,Last Year Local,2TIX95nyHSbB8KbuQnRCdC,['Paragon Don'],['68nGV92JMkcoZr9LqPoPHN'],10,1,True,0.828,0.605,3,-8.505,0,0.2269999999999999,0.551,3.25e-06,0.107,0.272,130.059,88842,4.0,2020,2020-01-01
4Q8FWSkCluGKZHRhb33vkX,Allt har sitt pris (feat. PeeWee),Laila Adele,0at8F9GSFRTCwYa5hdz0gO,"['Laila Adele', 'PeeWee']","['10UHmKyfLXudqVHU9PnHEZ', '5FaiaxuPKlzKgJuVelXgTi']",1,1,False,0.6629999999999999,0.6409999999999999,7,-7.612,0,0.0323,0.00207,0.0,0.14,0.545,89.999,252560,4.0,2001,2001-04-18
1sbe3rUU3A00858kOl59eb,Unveiled,Unveiled,4tVZE1HwgDZUdENgNwbP5n,['Stanton Lanier'],['5v5staKWV7QHE11Xu3A5Pg'],7,1,False,0.287,0.161,11,-21.377,1,0.0472,0.989,0.933,0.0925,0.153,62.032,292293,3.0,2008,2008-01-01
5JY6JjKwiAhwtQw16dgjvs,Duo for Solo Viola and Percussion,A Different World,3gKH1YHuz4lyqgxbUgsTAz,['Duo Jalal'],['7vzCz7iAKJVlvidTJpMhXR'],11,1,False,0.351,0.132,7,-16.195,1,0.0774,0.943,0.00501,0.0567,0.424,117.431,326053,4.0,2011,2011-01-04
