<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,D,20031224,000000,0.30153,0.31466,0.30027,0.31225,207259757,0
AAPL.US,D,20031226,000000,0.31132,0.31987,0.31102,0.31777,121094840,0
AAPL.US,D,20031229,000000,0.31987,0.32358,0.31897,0.32325,272641255,0
AAPL.US,D,20031230,000000,0.32388,0.32879,0.32325,0.3254,239237203,0
AAPL.US,D,20031231,000000,0.32657,0.32943,0.32388,0.32687,203730257,0
AAPL.US,D,20040102,000000,0.32972,0.33269,0.32388,0.3254,168919164,0
AAPL.US,D,20040105,000000,0.32747,0.34246,0.32747,0.33913,461317956,0
AAPL.US,D,20040106,000000,0.3401,0.34277,0.33209,0.33759,594909708,0
AAPL.US,D,20040107,000000,0.33791,0.34892,0.33518,0.34535,685371132,0
AAPL.US,D,20040108,000000,0.34922,0.36301,0.34622,0.35716,537563568,0
AAPL.US,D,20040109,000000,0.35539,0.3688,0.34831,0.35169,499170955,0
AAPL.US,D,20040112,000000,0.35413,0.367,0.35316,0.36301,569339413,0
AAPL.US,D,20040113,000000,0.37768,0.3798,0.36478,0.3688,792984886,0
AAPL.US,D,20040114,000000,0.37304,0.37526,0.36368,0.37,724112762,0
AAPL.US,D,20040115,000000,0.35049,0.35781,0.34401,0.34952,1189082174,0
AAPL.US,D,20040116,000000,0.35169,0.35222,0.34564,0.34742,435391919,0
AAPL.US,D,20040120,000000,0.34677,0.34861,0.3401,0.3477,369018695,0
AAPL.US,D,20040121,000000,0.3471,0.35112,0.34277,0.34564,264701087,0
AAPL.US,D,20040122,000000,0.34503,0.34892,0.33913,0.33913,239413678,0
AAPL.US,D,20040123,000000,0.3401,0.3477,0.3401,0.34503,265297152,0
AAPL.US,D,20040126,000000,0.34335,0.35254,0.34277,0.35192,316800794,0
AAPL.US,D,20040127,000000,0.35222,0.35539,0.34861,0.35286,358606870,0
AAPL.US,D,20040128,000000,0.34922,0.35749,0.34277,0.34435,321624432,0
AAPL.US,D,20040129,000000,0.34592,0.34861,0.33948,0.34677,248397032,0
AAPL.US,D,20040130,000000,0.3477,0.34987,0.34277,0.34503,216394876,0
AAPL.US,D,20040202,000000,0.34335,0.34861,0.33759,0.34133,335675799,0
AAPL.US,D,20040203,000000,0.34103,0.34246,0.33639,0.34043,211159451,0
AAPL.US,D,20040204,000000,0.33639,0.33759,0.33185,0.33304,356838961,0
AAPL.US,D,20040205,000000,0.33365,0.35049,0.33336,0.34277,412070289,0
AAPL.US,D,20040206,000000,0.34305,0.35017,0.34246,0.34742,225786738,0
AAPL.US,D,20040209,000000,0.34592,0.34952,0.34401,0.34677,219856308,0
AAPL.US,D,20040210,000000,0.34592,0.35348,0.34305,0.35145,298201925,0
