Model,Shift_Type,Intensity,Accuracy,Accuracy_Lower_CI,Accuracy_Upper_CI,F1_Score,F1_Lower_CI,F1_Upper_CI,ROC_AUC,ROC_Lower_CI,ROC_Upper_CI,Brier_Score,Brier_Lower_CI,Brier_Upper_CI,KS_Statistic
Naive Baseline,Prior Probability Shift,0.75,0.9271366188396756,0.9220742358078603,0.9329475982532751,0.8920823792046653,0.8846910176079521,0.9005844040717602,0.5,0.5,0.5,0.0728633811603244,0.06705240174672489,0.07792576419213974,0.008769379912408323
Naïve Bayes,Prior Probability Shift,0.75,0.5538365564566438,0.542345601996257,0.5648159700561447,0.6527614912043249,0.6441317345662727,0.6613825818241637,0.8265098264766444,0.8140143743958818,0.839782724693142,0.44112192969746955,0.4303945995234034,0.45259905028827263,0.008769379912408323
Logistic Regression,Prior Probability Shift,0.75,0.911166562694947,0.9061696818465377,0.9161166562694947,0.9181920090149208,0.9131399529613197,0.9222809911524282,0.9026620248754292,0.8924824718026143,0.912545152311823,0.06721775923550465,0.06528795858563695,0.07001029499593707,0.008769379912408323
SVM (RBF),Prior Probability Shift,0.75,0.9187772925764193,0.9125920149719277,0.9247036805988771,0.9236789582879832,0.9177869556805542,0.9290930940658737,0.8968945808285542,0.884565740500148,0.9096600254473545,0.06265755359606254,0.05904791129567614,0.06585749886840518,0.008769379912408323
Decision Tree,Prior Probability Shift,0.75,0.8561447286338116,0.8483374922021211,0.8643917654398003,0.8795618297002576,0.8736166611615336,0.8863672620211612,0.7441330099933082,0.7271847539338984,0.7612204469999235,0.1438552713661884,0.13560823456019963,0.15166250779787896,0.008769379912408323
Random Forest,Prior Probability Shift,0.75,0.9102932002495321,0.9046132252027449,0.9164254522769807,0.9187245233945079,0.913499979107492,0.9247084905473639,0.9006349280964785,0.889367586763062,0.9114181428807242,0.0684357818673321,0.06527269077077702,0.07159411306058085,0.008769379912408323
Gradient Boosting,Prior Probability Shift,0.75,0.9263880224578914,0.9192046163443544,0.9316406737367436,0.9296108140023128,0.9233503012460481,0.9348194468310205,0.9176481852218492,0.9060144302676763,0.9273032504907471,0.057930324419706275,0.05492345396825513,0.061110631352407185,0.008769379912408323
AdaBoost,Prior Probability Shift,0.75,0.9167810355583281,0.9109170305676856,0.9225265127885215,0.9220403500001784,0.9171215522048675,0.9271949196848227,0.9063096238821818,0.8943096144572193,0.9146381533919765,0.15900242514477275,0.15755050335261306,0.160515769794276,0.008769379912408323
Naive Baseline,Prior Probability Shift,1.0,0.9846296541672188,0.9819100304756857,0.9872863389426262,0.9770040005496866,0.9729476053279715,0.9809701806895891,0.5,0.5,0.5,0.015370345832781237,0.01271366105737379,0.018089969524314294,0.011623016661697185
Naïve Bayes,Prior Probability Shift,1.0,0.5316019610441235,0.5180767192261826,0.543464290446535,0.6787979285251702,0.6672459707655808,0.6893228763709258,0.821884324289208,0.7871624013385711,0.8560369986162442,0.46328222067099556,0.4514259339829596,0.47668552756100047,0.011623016661697185
